SP: 33 
G: 34 25 16 7 
R: 8 17 18 
S: 27 
H: 26 35 
T: 34 43 
A: 44 53 
I: 62 71 70 
K: 61 
J: 52 51 
B: 50 41 
D: 32 
SP: 31 30 
F: 21 
P: 12 13 
Q: 12 11 
O: 20 29 28 
N: 29 38 47 48 
E: 49 50 59 
C: 68 67 
L: 76 
M
TIME: 11h 20m
T0=500, alpha=0.99999, beta=1.000005
timelimit: 20s



count=6300000 T=2.18527226788039E-25 cost:68
count=6350000 T=1.32543131668771E-25 cost:68
count=6400000 T=8.03912721118492E-26 cost:68
count=6450000 T=4.875964940916E-26 cost:68
count=6500000 T=2.95741483876052E-26 cost:68
count=6550000 T=1.79375828877017E-26 cost:68
count=6600000 T=1.08796667831702E-26 cost:68
count=6650000 T=6.59883497424692E-27 cost:68
count=6700000 T=4.00238572423029E-27 cost:68
count=6750000 T=2.4275635847903E-27 cost:68
count=6800000 T=1.47238806158127E-27 cost:68
count=6850000 T=8.93046269712596E-28 cost:68
count=6900000 T=5.41658588966725E-28 cost:68
count=6950000 T=3.28531719969938E-28 cost:68
count=7000000 T=1.99264062686247E-28 cost:68
count=7050000 T=1.20859461247339E-28 cost:68
count=7100000 T=7.33047854996156E-29 cost:68
count=7150000 T=4.44614887546745E-29 cost:68
count=7200000 T=2.69671886877345E-29 cost:68
count=7250000 T=1.63563858541155E-29 cost:68
count=7300000 T=9.92062470087552E-30 cost:68
count=7350000 T=6.01714800160812E-30 cost:68
count=7400000 T=3.64957562300096E-30 cost:68
count=7450000 T=2.21357397631622E-30 cost:68
count=7500000 T=1.34259712766148E-30 cost:68
count=7550000 T=8.14324285743838E-31 cost:68
count=7600000 T=4.93911411465044E-31 cost:68
count=7650000 T=2.99571665301079E-31 cost:68
count=7700000 T=1.81698945535729E-31 cost:68
count=7750000 T=1.10205705788681E-31 cost:68
count=7800000 T=6.68429723275038E-32 cost:68
count=7850000 T=4.05422107467174E-32 cost:68
count=7900000 T=2.45900323549036E-32 cost:68
count=7950000 T=1.49145712598853E-32 cost:68
count=8000000 T=9.04612213012564E-33 cost:68
count=8050000 T=5.48673670648824E-33 cost:68
count=8100000 T=3.32786571453328E-33 cost:68
count=8150000 T=2.01844754111672E-33 cost:68
count=8200000 T=1.22424725806927E-33 cost:68
count=8250000 T=7.42541640721036E-34 cost:68
count=8300000 T=4.50373145269879E-34 cost:68
count=8350000 T=2.7316443800151E-34 cost:68
count=8400000 T=1.65682192582708E-34 cost:68
count=8450000 T=1.00491078340371E-34 cost:68
count=8500000 T=6.09507676630323E-35 cost:68
count=8550000 T=3.69684168989605E-35 cost:68
count=8600000 T=2.242242223381E-35 cost:68
count=8650000 T=1.35998525499585E-35 cost:68
count=8700000 T=8.24870691720914E-36 cost:68
count=8750000 T=5.00308114048052E-36 cost:68
count=8800000 T=3.03451451839206E-36 cost:68
count=8850000 T=1.84052149141191E-36 cost:68
count=8900000 T=1.11632992355695E-36 cost:68
count=8950000 T=6.77086632263515E-37 cost:68
count=9000000 T=4.10672775060265E-37 cost:68
count=9050000 T=2.49085006466437E-37 cost:68
count=9100000 T=1.51077315600677E-37 cost:68
count=9150000 T=9.16327948152998E-38 cost:68
count=9200000 T=5.5577960544761E-38 cost:68
count=9250000 T=3.37096527999737E-38 cost:68
count=9300000 T=2.04458868363764E-38 cost:68
count=9350000 T=1.24010262284945E-38 cost:68
count=9400000 T=7.52158381539107E-39 cost:68
count=9450000 T=4.56205978840358E-39 cost:68
count=9500000 T=2.7670222155049E-39 cost:68
count=9550000 T=1.67827961408128E-39 cost:68
count=9600000 T=1.01792549667941E-39 cost:68
count=9650000 T=6.17401479524767E-40 cost:68
count=9700000 T=3.7447199049718E-40 cost:68
SA finish. Count:9719672
ë±çsÇ∑ÇÈÇ…ÇÕâΩÇ©ÉLÅ[ÇâüÇµÇƒÇ≠ÇæÇ≥Ç¢ . . .
