SP: 33 
G: 34 43 
A: 52 61 
J: 70 
K: 69 68 67 
L: 76 
M: 77 68 59 
C: 50 41 
D: 32 
SP: 31 30 
F: 29 28 
N: 29 20 11 
O: 20 21 
P: 12 13 
Q: 14 15 6 7 
R: 8 17 18 
S: 27 
H: 26 35 
T: 44 53 
I: 52 51 
B: 50 49 48 
E
TIME: 11h 30m


//ãAíÖÉtÉäÅ[î≈
//timelimit=5s

count=760000 T=0.500477457594887 cost:69
count=765000 T=0.476068764945673 cost:69
count=770000 T=0.452850504088746 cost:69
count=775000 T=0.43076461669741 cost:69
count=780000 T=0.409755875996776 cost:69
count=785000 T=0.389771748666689 cost:69
count=790000 T=0.37076226347974 cost:69
count=795000 T=0.352679886345925 cost:69
count=800000 T=0.335479401451469 cost:69
count=805000 T=0.319117798194607 cost:69
count=810000 T=0.303554163635605 cost:69
count=815000 T=0.288749580192075 cost:69
count=820000 T=0.27466702832377 cost:69
count=825000 T=0.261271293963535 cost:69
count=830000 T=0.248528880462904 cost:69
count=835000 T=0.236407924832205 cost:69
count=840000 T=0.224878118065687 cost:69
count=845000 T=0.213910629352455 cost:69
count=850000 T=0.203478033983714 cost:69
count=855000 T=0.193554244776018 cost:69
count=860000 T=0.18411444683908 cost:69
count=865000 T=0.175135035524989 cost:69
count=870000 T=0.166593557403712 cost:69
count=875000 T=0.158468654117264 cost:69
count=880000 T=0.150740008972144 cost:69
count=885000 T=0.143388296136519 cost:69
count=890000 T=0.136395132315097 cost:69
count=895000 T=0.129743030780839 cost:69
count=900000 T=0.123415357648615 cost:69
count=905000 T=0.117396290281397 cost:69
count=910000 T=0.111670777725033 cost:69
count=915000 T=0.106224503072648 cost:69
count=920000 T=0.10104384766456 cost:69
count=925000 T=0.0961158570341911 cost:69
count=930000 T=0.0914282085148401 cost:69
count=935000 T=0.0869691804262801 cost:69
count=940000 T=0.0827276227641614 cost:69
count=945000 T=0.0786929293189173 cost:69
count=950000 T=0.0748550111544464 cost:69
count=955000 T=0.0712042713802662 cost:69
count=960000 T=0.0677315811540486 cost:69
count=965000 T=0.0644282568545303 cost:69
count=970000 T=0.0612860383677195 cost:69
count=975000 T=0.0582970684321017 cost:69
count=980000 T=0.0554538729911973 cost:69
count=985000 T=0.052749342504339 cost:69
count=990000 T=0.0501767141689412 cost:69
count=995000 T=0.0477295550097999 cost:69
count=1000000 T=0.0454017457931438 cost:69
count=1005000 T=0.0431874657252098 cost:69
count=1010000 T=0.0410811778970806 cost:69
count=1015000 T=0.0390776154393901 cost:69
count=1020000 T=0.0371717683522745 cost:69
count=1025000 T=0.0353588709776382 cost:69
count=1030000 T=0.0336343900824067 cost:69
count=1035000 T=0.0319940135229698 cost:69
count=1040000 T=0.0304336394624678 cost:69
count=1045000 T=0.0289493661139614 cost:69
count=1050000 T=0.027537481983833 cost:69
count=1055000 T=0.0261944565910275 cost:69
count=1060000 T=0.0249169316389226 cost:69
count=1065000 T=0.0237017126177531 cost:69
count=1070000 T=0.0225457608165932 cost:69
count=1075000 T=0.0214461857249207 cost:69
count=1080000 T=0.0204002378047622 cost:69
count=1085000 T=0.0194053016153477 cost:69
count=1090000 T=0.0184588892730806 cost:69
count=1095000 T=0.0175586342304704 cost:69
count=1100000 T=0.016702285358473 cost:69
count=1105000 T=0.0158877013174382 cost:69
count=1110000 T=0.0151128452025924 cost:69
count=1115000 T=0.0143757794506645 cost:69
count=1120000 T=0.0136746609949194 cost:69
count=1125000 T=0.0130077366564862 cost:69
count=1130000 T=0.0123733387604533 cost:69
count=1135000 T=0.0117698809657708 cost:69
count=1140000 T=0.0111958542985321 cost:69
count=1145000 T=0.010649823378715 cost:69
count=1150000 T=0.0101304228309487 cost:69
count=1155000 T=0.00963635387032965 cost:69
count=1160000 T=0.00916638105475018 cost:69
count=1165000 T=0.00871932919561921 cost:69
count=1170000 T=0.00829408041924877 cost:69
count=1175000 T=0.00788957137156021 cost:69
count=1180000 T=0.00750479055911783 cost:69
count=1185000 T=0.00713877581984358 cost:69
count=1190000 T=0.00679061191708645 cost:69
count=1195000 T=0.00645942825103125 cost:69
count=1200000 T=0.00614439668172392 cost:69
count=1205000 T=0.0058447294582694 cost:69
count=1210000 T=0.00555967724902449 cost:69
count=1215000 T=0.00528852726785966 cost:69
count=1220000 T=0.00503060149180469 cost:69
count=1225000 T=0.00478525496562103 cost:69
count=1230000 T=0.00455187418906163 cost:69
count=1235000 T=0.00432987558278549 cost:69
count=1240000 T=0.00411870402909067 cost:69
count=1245000 T=0.00391783148381706 cost:69
count=1250000 T=0.0037267556559477 cost:69
count=1255000 T=0.00354499875160699 cost:69
count=1260000 T=0.00337210627931532 cost:69
count=1265000 T=0.00320764591351216 cost:69
count=1270000 T=0.00305120641350615 cost:69
count=1275000 T=0.00290239659514891 cost:69
SA finish. Count:1277212
